                           * h:\esim_p\tmvd\tmvd.cir
                           Transient Analysis  Sun Mar 16 13:52:13  2025
--------------------------------------------------------------------------------
Index   time            v1#branch       v2#branch       
--------------------------------------------------------------------------------
0	0.000000e+00	-4.27559e-10	0.000000e+00	
1	1.000000e-13	-4.27559e-10	-6.93889e-17	
2	2.000000e-13	-4.27559e-10	6.938894e-18	
3	4.000000e-13	-4.27559e-10	3.469447e-18	
4	8.000000e-13	-4.27559e-10	0.000000e+00	
5	1.600000e-12	-4.27559e-10	-3.46945e-18	
6	3.200000e-12	-4.27559e-10	2.168404e-18	
7	6.400000e-12	-4.27559e-10	-8.23994e-18	
8	1.280000e-11	-4.27559e-10	-1.08420e-17	
9	2.280000e-11	-4.27559e-10	-2.39609e-17	
10	3.280000e-11	-4.27559e-10	2.244298e-17	
11	4.280000e-11	-4.27559e-10	-2.47198e-17	
12	5.280000e-11	-4.27559e-10	3.209238e-17	
13	6.280000e-11	-4.27559e-10	-3.72966e-17	
14	7.280000e-11	-4.27559e-10	2.992398e-17	
15	8.280000e-11	-4.27559e-10	-2.99240e-17	
16	9.280000e-11	-4.27559e-10	2.656295e-17	
17	1.028000e-10	-4.27559e-10	-3.20924e-17	
18	1.128000e-10	-4.27559e-10	2.721347e-17	
19	1.228000e-10	-4.27559e-10	-1.90820e-17	
20	1.328000e-10	-4.27559e-10	2.125036e-17	
21	1.428000e-10	-4.27559e-10	-3.10082e-17	
22	1.528000e-10	-4.27559e-10	3.133344e-17	
23	1.628000e-10	-4.27559e-10	-2.21177e-17	
24	1.728000e-10	-4.27559e-10	2.471981e-17	
25	1.828000e-10	-4.27559e-10	-3.04661e-17	
26	1.928000e-10	-4.27559e-10	3.707971e-17	
27	2.028000e-10	-4.27559e-10	-3.52366e-17	
28	2.128000e-10	-4.27559e-10	2.309351e-17	
29	2.228000e-10	-4.27559e-10	-3.65376e-17	
30	2.328000e-10	-4.27559e-10	4.022390e-17	
31	2.428000e-10	-4.27559e-10	-3.28513e-17	
32	2.528000e-10	-4.27559e-10	3.057450e-17	
33	2.628000e-10	-4.27559e-10	-4.19586e-17	
34	2.728000e-10	-4.27559e-10	3.111660e-17	
35	2.828000e-10	-4.27559e-10	-3.32850e-17	
36	2.928000e-10	-4.27559e-10	2.786400e-17	
37	3.028000e-10	-4.27559e-10	-3.04661e-17	
38	3.128000e-10	-4.27559e-10	2.092510e-17	
39	3.228000e-10	-4.27559e-10	-2.97071e-17	
40	3.328000e-10	-4.27559e-10	3.447763e-17	
41	3.428000e-10	-4.27559e-10	-2.46114e-17	
42	3.528000e-10	-4.27559e-10	2.818926e-17	
43	3.628000e-10	-4.27559e-10	-3.58871e-17	
44	3.728000e-10	-4.27559e-10	1.984090e-17	
45	3.828000e-10	-4.27559e-10	-5.42101e-18	
46	3.928000e-10	-4.27559e-10	1.051676e-17	
47	4.028000e-10	-4.27559e-10	-2.04914e-17	
48	4.128000e-10	-4.27559e-10	2.537033e-17	
49	4.228000e-10	-4.27559e-10	-2.93819e-17	
50	4.328000e-10	-4.27559e-10	3.198396e-17	
51	4.428000e-10	-4.27559e-10	-2.25514e-17	
52	4.528000e-10	-4.27559e-10	3.588709e-17	
53	4.628000e-10	-4.27559e-10	-4.03323e-17	
54	4.728000e-10	-4.27559e-10	3.415237e-17	

Index   time            v1#branch       v2#branch       
--------------------------------------------------------------------------------
55	4.828000e-10	-4.27559e-10	-3.88144e-17	
56	4.928000e-10	-4.27559e-10	2.667137e-17	
57	5.028000e-10	-4.27559e-10	-2.97071e-17	
58	5.128000e-10	-4.27559e-10	3.545341e-17	
59	5.228000e-10	-4.27559e-10	-4.22839e-17	
60	5.328000e-10	-4.27559e-10	3.382711e-17	
61	5.428000e-10	-4.27559e-10	-3.29597e-17	
62	5.528000e-10	-4.27559e-10	3.642919e-17	
63	5.628000e-10	-4.27559e-10	-3.26345e-17	
64	5.728000e-10	-4.27559e-10	2.352719e-17	
65	5.828000e-10	-4.27559e-10	-3.18755e-17	
66	5.928000e-10	-4.27559e-10	4.618701e-17	
67	6.028000e-10	-4.27559e-10	-4.69460e-17	
68	6.128000e-10	-4.27559e-10	4.109126e-17	
69	6.228000e-10	-4.27559e-10	-3.37187e-17	
70	6.328000e-10	-4.27559e-10	4.293441e-17	
71	6.428000e-10	-4.27559e-10	-3.95734e-17	
72	6.528000e-10	-4.27559e-10	2.114194e-17	
73	6.628000e-10	-4.27559e-10	-2.86229e-17	
74	6.728000e-10	-4.27559e-10	2.710505e-17	
75	6.828000e-10	-4.27559e-10	-1.35525e-17	
76	6.928000e-10	-4.27559e-10	2.645453e-17	
77	7.028000e-10	-4.27559e-10	-3.55618e-17	
78	7.128000e-10	-4.27559e-10	2.417771e-17	
79	7.228000e-10	-4.27559e-10	-3.66460e-17	
80	7.328000e-10	-4.27559e-10	4.185020e-17	
81	7.428000e-10	-4.27559e-10	-3.85976e-17	
82	7.528000e-10	-4.27559e-10	4.607859e-17	
83	7.628000e-10	-4.27559e-10	-3.56703e-17	
84	7.728000e-10	-4.27559e-10	3.133344e-17	
85	7.828000e-10	-4.27559e-10	-4.49944e-17	
86	7.928000e-10	-4.27559e-10	3.632077e-17	
87	8.028000e-10	-4.27559e-10	-2.20093e-17	
88	8.128000e-10	-4.27559e-10	2.851452e-17	
89	8.228000e-10	-4.27559e-10	-3.43692e-17	
90	8.328000e-10	-4.27559e-10	2.677979e-17	
91	8.428000e-10	-4.27559e-10	-4.26091e-17	
92	8.528000e-10	-4.27559e-10	3.838076e-17	
